contest_id,candidate_name,candidate_party,sheet_number,election_year,election_month,candidate_id
103112016,MATT DUBNIK ,REP,103,2016,11,9833741c68c020cbcc1f623a84cf1d1b601d5821878cf9cc49b9d393f5e8e0d0
104112016,EMORY DUNAHOO JR (I) ,REP,104,2016,11,6f639916040354e81f2a43b8c6afba88a02668862d13db8a574582bc0054cfcd
104112016,MICHELLE JONES ,DEM,104,2016,11,9d0352ee858cc363fd1a7cf2d9ddb38b498c3d4e9bb1cf697c490c865cd1b2b5
105112016,TOMMY BENTON (I) ,REP,105,2016,11,53197f131e9d866e6c74fc593b8ee8bbbbf3b8090a83299d424632b8b854e53a
106112016,ALAN POWELL (I) ,REP,106,2016,11,0d46f7102977cec719551ff002aa94abae3ebb3104fe511b085442b7fbd8e2a5
107112016,TOM MCCALL (I) ,REP,107,2016,11,593733bd62f814b4d6313145568a705f15c545f124e639ff22bb0d48cd6a1ccd
108112016,BERT REEVES (I) ,REP,108,2016,11,e49110b3a06ff8aece62928b6b45172b965d978be0149316820a013d2ac410ef
108112016,JUSTIN HOLSOMBACK ,DEM,108,2016,11,488e4a653158cfb4a9150be082eeca0e594c99bf51339fbca9ad8e7cd7b17ef6
109112016,ED SETZLER (I) ,REP,109,2016,11,37277c2a95af180a317240782ceabe835c93c11a4f790425a2cbeaf0b90e69da
110112016,EARL EHRHART (I) ,REP,110,2016,11,f9ce4817c834d3152f5e2f8ce8c92715368949bbd2fee1affce466202d8a45ed
111112016,SAM TEASLEY (I) ,REP,111,2016,11,1f5922205951e2d43f3fbff8729b05a0f1477333c27d05c3ba784869dec06f11
111112016,BILL BOLTON ,DEM,111,2016,11,8959c6230d2ac49812c4412a1fb93e477bc833403461cdd0143d64823a72ed58
112112016,DAVID WILKERSON (I) ,DEM,112,2016,11,aa087756092c0e51e6915129139e306514272ecdb5d1895521ea7201a75b93c0
113112016,ERICA THOMAS (I) ,DEM,113,2016,11,fe7af4644c0dbd1cdca1674b636584aa06a67022fc0b9a46748b5020cd6cde2e
114112016,RICH GOLICK (I) ,REP,114,2016,11,26f2dd90e465a7137e6822ea591ded429cb0d497dc84b540d8c45c065d6670a2
114112016,ERICK E. ALLEN ,DEM,114,2016,11,f3a33ddedd6c56e88bbd4779ac3a64a0666320fc2f3b260aaa7da9197a68c49f
115112016,MICHAEL SMITH (I) ,DEM,115,2016,11,19c8bfd2cdadba83fbc5df9a7b7bc6ea767772a93ee0c610e671d90354c1c95f
116112016,MATT VAUGHN ,REP,116,2016,11,7973df20ba389cf3e7675feebc0c7db70f6bb7e2a6c242fe5f91b0bcbf00a751
116112016,STACEY EVANS (I) ,DEM,116,2016,11,1f277a7ead7d769f36fdab91e74102b3c6877bd560ba612f6f4491ee71d275a6
117112016,SHARON COOPER (I) ,REP,117,2016,11,4532962fe527a52e5391b1a256ddaf7f1e029e45b195469f5fee81304dad766d
118112016,DON L. PARSONS (I) ,REP,118,2016,11,08309d759aa10429e6c640c7c701544a4fa8cb786a150538e56518ba8db4eb92
119112016,MATT DOLLAR (I) ,REP,119,2016,11,3edefc0fa24e90be1ac5a4257604363d0e1d0e8695e774343d9a167eaa7a5ab7
120112016,JOHN CARSON (I) ,REP,120,2016,11,938712dc149ed2ce65f40aa9ac146b2690f01ebc5a5f6710aa8273022c676948
121112016,JAN JONES (I) ,REP,121,2016,11,f3210e11a5a6364292e44eec2ec141d5d0880cde231552e6cea3264fae17f983
122112016,BETTY PRICE (I) ,REP,122,2016,11,da28370f393aa62fe1d3dfbc95e88358569dfe5cd53f8f8f6d24ffc5e3bc247b
123112016,CHARLES E. CHUCK MARTIN (I) ,REP,123,2016,11,b747a817ec87419dc18be89db29736440b236a279ba33b4d05aa2c4d80664126
124112016,BRAD RAFFENSPERGER (I) ,REP,124,2016,11,e82c05217f2ff28481d198f9dcbb3024578d579ccef44bef79ee1873209d418e
125112016,WENDELL WILLARD (I) ,REP,125,2016,11,98e17713c7214f674fea84623501ef59ed6b82908408386dce00cecc8ea6859f
126112016,DEBORAH SILCOX ,REP,126,2016,11,5d9e3a260744ab58b6fba4599479904b34f6c58ec6ffe964d23afb566cb5b02e
127112016,SHEILA JONES (I) ,DEM,127,2016,11,6261f828a51bb2cdb09193c3f727fb4c6e3dc8aba4b401b74add9d6cd690323b
128112016,BETH BESKIN (I) ,REP,128,2016,11,4428db6cc668d52a447a511ab8cedffba625fc54d2e4c29f64121807ecf39a0c
128112016,ROBERT BOB GIBELING ,DEM,128,2016,11,928be26d0c1f4da0882a11a4c1b397653a2f1463e75fa94539b2b2efc6214a87
129112016,MARIE METZE (I) ,DEM,129,2016,11,9d10810ce120da0dfa907cee19598a8af7dae66ddbd20106bcd9a61bfaacefdc
130112016,ABLE MABLE THOMAS (I) ,DEM,130,2016,11,b0c623176cd857d00ccdcc1ddc028f565c394eee623053512ee65fbe782d7af7
131112016,PAT GARDNER (I) ,DEM,131,2016,11,9048c9674fe4708f9d19d812fcf19959069c15b53996f011b34b44d22be78c29
132112016,PARK CANNON (I) ,DEM,132,2016,11,3e0107a037bf4da548d67b5a5c911aca63c203620d3e6f403ca0bb425e5d8116
133112016,DAVID DREYER ,DEM,133,2016,11,a665f7478219c93604fef838367955c84afc185cc9b7e60a5e4194fdc72c214d
134112016,RALPH NOBLES ,REP,134,2016,11,a1171df81ee0f0e2fabddfc5504b39e1071dc12710e8974013da90231bc9874b
134112016,KEISHA WAITES (I) ,DEM,134,2016,11,c8fb8f835aabdb176c74d2cfa07d19df9c04bf308c27da02dab67cd67cc4da16
135112016,ROGER BRUCE (I) ,DEM,135,2016,11,0cd014bc7b1196acb3bf366ba24b383230a7b0e4526ef805e8ff8c885bd95761
136112016,WILLIAM K. BODDIE JR ,DEM,136,2016,11,cd167459c5f318a7a420ccbf6bba0d2b4a688b74da67c641a2ee18ea1cfe90c8
137112016,DEBRA BAZEMORE ,DEM,137,2016,11,1b0b1fef9f49356a44042b308cbdf60c3b97acb30d2141cf818c02441d37f0d6
138112016,DERRICK L. JACKSON ,DEM,138,2016,11,c6f80a56f4ba08ea3ccd8bf648da776b489df03badf28919031e1a562163da45
139112016,GORDON ROLLE JR ,REP,139,2016,11,29968d05151e3c225aacb9f5e7fd4dfe1f63fe85d6a12db0f6cee5cf32f00e97
139112016,SHARON BEASLEY-TEAGUE (I) ,DEM,139,2016,11,198ff672ae1845568389d88ba7da48e932f3c87d575b704b781abfaf5ad6c307
140112016,BRUCE EMORY ,REP,140,2016,11,a7cd87fac00410ba06e2df9ae0d48fa07552dd86ae89fe3cee991b482952d382
140112016,KIMBERLY ALEXANDER (I) ,DEM,140,2016,11,535b3fd52ad2f733709bd09844492364336c7e5e57c01f7b0abfc68f1c98de09
141112016,MICAH GRAVLEY (I) ,REP,141,2016,11,5cbc5524d3d7ccd1a3f5c5cae965416ee149473a54a15465fa1b6127617b3fb0
142112016,J. COLLINS ,REP,142,2016,11,ffd56634f427666f92f8a155b15a1f57357e7db837ed25bffdc823d747b7114b
143112016,RANDY NIX (I) ,REP,143,2016,11,709a256ecfa305748a681b9ce187fe412f892d4bbf94aadf6aa484df5ee44f4f
144112016,LYNN SMITH (I) ,REP,144,2016,11,3417add97d196071b87d2fa524497f01c37c53a34f6a5bd7c6c066ed1f77545a
145112016,DAVID STOVER (I) ,REP,145,2016,11,61b38ab3bd3439db2596b1504ac6bb1ef06b7136b60076ba1d0e0724a9272ea0
145112016,CYNTHIA C. BENNETT ,DEM,145,2016,11,ecb3e194102752b771a4da84ab3283711c695ff673ab1971ddd944de0ffabb33
146112016,JOSH BONNER ,REP,146,2016,11,10adc5c151ec198d6c466a02bf4ac5c01b27c4e5e11fd81735f5b3a16b905cdd
147112016,KAREN MATHIAK ,REP,147,2016,11,3128a052c9b1ce4293fe3914c74eb9568f8aa7c0bc5404b04423dad646d4ed8b
147112016,RAHIM TALLEY ,DEM,147,2016,11,1c83bbf4afd28655585df9f55cc90bfdec3d9e0bd0b582124123914203266966
148112016,VALENCIA STOVALL (I) ,DEM,148,2016,11,e0f1312b51f7a2adb9007d696528e10c73fa0bd3ce566572d33dcd7fefffca04
149112016,MIKE GLANTON (I) ,DEM,149,2016,11,6f8fa19d3dbbd2fb3b768f26d072ac1989d9e3c1bfa6ce8ef961ad845596dcf1
150112016,SANDRA SCOTT (I) ,DEM,150,2016,11,f1277d1345538b1c42a6abfd8a68340ee6118a6a388884a9b392043b841d6225
151112016,RHONDA BURNOUGH ,DEM,151,2016,11,279abaa2d2eb6a2f2233464308b9572006684e873f2abbc4568b3f878e53c36f
152112016,DEMETRIUS DOUGLAS (I) ,DEM,152,2016,11,042f9b0fa0bdcff8fb823dd93ac751a6b368f186851020c3213376eb724e86d2
153112016,TOM TAYLOR (I) ,REP,153,2016,11,a32fc9cbbce8c2c2510a73de6fbbc2876cd92ef34c83a4cc7c09312554d53e92
154112016,MEAGAN HANSON ,REP,154,2016,11,f4ed95fb485640b2683297c30fbc22afadf1fdd5128128fcf399f8b43c9fffd7
154112016,TAYLOR BENNETT (I) ,DEM,154,2016,11,046204667cd46420649f6e551eecf19a7f78e9392dbf35e7c58193927df39ed0
155112016,LANE FLYNN ,REP,155,2016,11,99ac74d4d397a0dd4bcfe3cc0d6b5ab4df6f11ed4c60459645d210a7331c166f
155112016,SCOTT HOLCOMB (I) ,DEM,155,2016,11,c2b41ae1d9fd77ea0b212435361a9ffdd17c54f3e1b276c493fc1784c819821e
156112016,MARY MARGARET OLIVER (I) ,DEM,156,2016,11,96c46de81c4123ca28dee9ec15136a03509fd0cfd39cfead8c36afeaa2715c03
157112016,HOWARD MOSBY (I) ,DEM,157,2016,11,b5637af3472b2eee5aeebb5d1b646c60112ed85327247ace4d481765d85aba05
158112016,RENITTA SHANNON ,DEM,158,2016,11,9ef879f90494307b8b6bcb7388e480349303605a1f82030c8d322109ae80c44e
159112016,KARLA DRENNER (I) ,DEM,159,2016,11,d29b293986b293410ab2440b1c95bbe8b5a0f9c6e75ab0d390facfd4e6bfce4a
160112016,MICHELE HENSON (I) ,DEM,160,2016,11,2a3446e31dc48f64cfd885e926fa4ceb526ae8e5884087998096a93f6e510b18
161112016,"EARNEST ""COACH"" WILLIAMS (I) ",DEM,161,2016,11,dea30ea7be33d59fc48f21c7ab60f29b1e098544eb6b101216fa5b86040b47f9
162112016,BILLY MITCHELL (I) ,DEM,162,2016,11,aba120547dc2a4e959b6e73cb8d3f1b2cae1928005017ef3d162a475d5069498
163112016,STACEY Y ABRAMS (I) ,DEM,163,2016,11,1a123873efe754481812d1e6b8164e44d853306fcf1800af8a33d305558a0ff1
164112016,PAM STEPHENSON (I) ,DEM,164,2016,11,fffa525bce63bda49aec05b4bec550be2a7bfb01893789efd36f7e8ff85b4454
165112016,CARL ANUSZCZYK ,REP,165,2016,11,b61f9866995154f394e942c15e1c2235ef98c0e2834c9e62fb1325c0eaae9e2d
165112016,VERNON JONES ,DEM,165,2016,11,79882862b913ba38b1de8d7594176b9903ef253169a46c3dfb6b294932c6001b
166112016,DOREEN CARTER (I) ,DEM,166,2016,11,6e051cdaf0d5f111292634aaba7fad7c6b616079ce62f9f0288ae5b60eb21ee3
167112016,DARSHUN KENDRICK (I) ,DEM,167,2016,11,d142738051db6c6a4be74fcc58c94d8aa7e83dfd358b53b1f28c962ae2668e0b
168112016,KAREN BENNETT (I) ,DEM,168,2016,11,ab9aea75da1d510e3b5ac41c75650c6eb164a5487d9665da863aa30eb0acefdf
169112016,SCOTT HILTON ,REP,169,2016,11,c9ba1a0092557a465302aa389634dc38ac3c8f8b43ab933c92aa736120a8080d
170112016,"RICHARD ""RICK"" UNDERWOOD ",REP,170,2016,11,7956abe5832a2ef20012d703c5207f2ce410caf2fe07832c42ea5e3a657c666a
170112016,"PEDRO ""PETE"" MARIN (I) ",DEM,170,2016,11,aa13f86c693db6b660c74f55bdd9b8e69db13b677f1e4315e36c5836187dbfac
171112016,BROOKS COLEMAN (I) ,REP,171,2016,11,cae2dec2a1c10e5f501b960aaf9cfbd43b332ca462a6c11ab2d8724d5e8bf5e9
172112016,DAVID CLARK (I) ,REP,172,2016,11,8d0b813d97ce3d7007a70d7e47889ffdec74cc2f07e19fab417955818953c888
