county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Clayton,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4119,889,7621,16,12645,Clayton86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Clinch,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,680,56,988,3,1727,Clinch86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Cobb,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,79118,12461,61089,244,152912,Cobb86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Coffee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3051,295,6242,0,9588,Coffee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Colquitt,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4968,260,4667,3,9898,Colquitt86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Columbia,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,17194,1802,24070,19,43085,Columbia86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Cook,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1594,149,2433,0,4176,Cook86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Coweta,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,18778,1892,21851,12,42533,Coweta86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Crawford,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1615,153,1864,3,3635,Crawford86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Crisp,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1354,205,2981,9,4549,Crisp86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Dade,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2547,115,2385,4,5051,Dade86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Dawson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2423,422,7039,16,9900,Dawson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Decatur,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2242,284,3483,11,6020,Decatur86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
DeKalb,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,22867,3886,24669,46,51468,DeKalb86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Dodge,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2732,235,2054,0,5021,Dodge86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Dooly,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,815,68,1059,9,1951,Dooly86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Dougherty,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5917,514,3796,5,10232,Dougherty86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Douglas,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,7655,1198,15952,12,24817,Douglas86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Early,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1093,140,1319,0,2552,Early86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Echols,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,395,38,574,0,1007,Echols86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Effingham,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,8084,432,9351,7,17874,Effingham86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Elbert,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1979,272,3018,23,5292,Elbert86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Emanuel,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2776,217,2337,5,5335,Emanuel86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Evans,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,675,122,1607,0,2404,Evans86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Fannin,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4326,621,4676,9,9632,Fannin86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Fayette,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,10790,1625,22626,7,35048,Fayette86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Floyd,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,9959,778,13308,69,24114,Floyd86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
