county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Clinch,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,16,3,15,0,34,Clinch354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Cobb,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,9802,934,3693,37,14466,Cobb354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Coffee,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,90,17,126,0,233,Coffee354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Colquitt,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,127,12,101,0,240,Colquitt354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Columbia,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1285,132,852,1,2270,Columbia354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Cook,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,46,6,60,0,112,Cook354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Coweta,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1257,117,858,3,2235,Coweta354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Crawford,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,54,4,48,0,106,Crawford354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Crisp,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,52,10,64,0,126,Crisp354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Dade,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,145,7,74,0,226,Dade354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Dawson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,157,14,185,0,356,Dawson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Decatur,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,64,8,53,1,126,Decatur354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
DeKalb,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,5335,438,3875,18,9666,DeKalb354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Dodge,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,74,9,55,0,138,Dodge354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Dooly,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,19,4,12,1,36,Dooly354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Dougherty,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,306,31,137,1,475,Dougherty354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Douglas,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,737,63,794,0,1594,Douglas354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Early,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,34,7,24,0,65,Early354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Echols,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,6,1,6,0,13,Echols354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Effingham,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,399,24,256,0,679,Effingham354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Elbert,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,62,13,61,3,139,Elbert354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Emanuel,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,40,4,31,0,75,Emanuel354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Evans,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,26,3,39,0,68,Evans354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Fannin,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,107,20,95,0,222,Fannin354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Fayette,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,965,134,1004,0,2103,Fayette354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Floyd,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,539,54,485,6,1084,Floyd354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Forsyth,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1528,191,2369,3,4091,Forsyth354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Franklin,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,110,11,56,0,177,Franklin354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Fulton,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,7605,783,7332,45,15765,Fulton354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Gilmer,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,140,12,141,0,293,Gilmer354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Glascock,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,10,1,6,0,17,Glascock354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Glynn,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,469,41,313,2,825,Glynn354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Gordon,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,286,19,199,3,507,Gordon354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Grady,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,83,8,44,0,135,Grady354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Greene,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,52,10,88,1,151,Greene354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Gwinnett,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,7904,730,3780,80,12494,Gwinnett354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Habersham,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,183,28,250,0,461,Habersham354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Hall,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1380,124,798,5,2307,Hall354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Hancock,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,21,2,13,0,36,Hancock354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Haralson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,151,12,101,0,264,Haralson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Harris,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,200,23,156,0,379,Harris354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Hart,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,106,10,93,0,209,Hart354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Heard,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,60,6,27,0,93,Heard354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Henry,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1026,106,1364,9,2505,Henry354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Houston,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,791,99,861,10,1761,Houston354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Irwin,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,26,3,29,0,58,Irwin354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jackson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,402,27,405,0,834,Jackson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jasper,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,59,8,52,0,119,Jasper354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jeff Davis,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,48,5,33,0,86,Jeff Davis354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jefferson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,40,5,24,1,70,Jefferson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jenkins,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,12,2,20,0,34,Jenkins354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Johnson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,19,2,6,0,27,Johnson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Jones,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,116,16,128,0,260,Jones354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lamar,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,66,5,54,1,126,Lamar354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lanier,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,40,3,29,1,73,Lanier354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Laurens,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,171,26,116,0,313,Laurens354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lee,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,161,20,118,0,299,Lee354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Liberty,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,244,11,171,1,427,Liberty354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lincoln,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,33,4,33,0,70,Lincoln354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Long,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,74,2,54,1,131,Long354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lowndes,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,379,53,479,18,929,Lowndes354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Lumpkin,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,185,18,292,0,495,Lumpkin354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Macon,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,24,4,14,0,42,Macon354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Madison,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,187,17,123,1,328,Madison354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Marion,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,22,3,24,0,49,Marion354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
McDuffie,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,55,13,69,0,137,McDuffie354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
McIntosh,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,57,12,44,0,113,McIntosh354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Meriwether,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,104,8,53,0,165,Meriwether354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Miller,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,19,3,8,0,30,Miller354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Mitchell,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,53,7,33,0,93,Mitchell354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Monroe,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,171,11,102,0,284,Monroe354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Montgomery,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,27,2,16,0,45,Montgomery354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Morgan,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,104,11,103,0,218,Morgan354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Murray,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,180,16,87,0,283,Murray354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Muscogee,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1057,109,661,4,1831,Muscogee354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Newton,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,590,45,311,1,947,Newton354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Oconee,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,480,32,412,1,925,Oconee354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Oglethorpe,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,103,11,85,0,199,Oglethorpe354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Paulding,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,890,88,974,2,1954,Paulding354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Peach,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,98,8,105,0,211,Peach354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Pickens,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,185,10,159,0,354,Pickens354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Pierce,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,37,8,48,0,93,Pierce354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Pike,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,84,10,69,0,163,Pike354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Polk,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,137,18,134,0,289,Polk354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Pulaski,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,15,3,40,0,58,Pulaski354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Putnam,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,91,10,69,0,170,Putnam354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Quitman,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,3,0,5,0,8,Quitman354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Rabun,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,64,23,132,0,219,Rabun354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Randolph,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,17,3,8,0,28,Randolph354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Richmond,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,1099,105,603,4,1811,Richmond354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Rockdale,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,396,41,485,1,923,Rockdale354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Schley,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,20,3,13,0,36,Schley354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Screven,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,41,7,46,0,94,Screven354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Seminole,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,35,3,10,0,48,Seminole354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Spalding,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,301,27,269,0,597,Spalding354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Stephens,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,86,14,143,0,243,Stephens354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Stewart,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,9,7,12,0,28,Stewart354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Sumter,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,96,10,72,0,178,Sumter354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Talbot,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,25,11,10,0,46,Talbot354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Taliaferro,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,0,0,3,0,3,Taliaferro354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Tattnall,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,46,16,47,0,109,Tattnall354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Taylor,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,18,4,23,0,45,Taylor354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Telfair,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,20,3,9,0,32,Telfair354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Terrell,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,28,2,10,0,40,Terrell354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Thomas,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,167,23,177,1,368,Thomas354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Tift,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,131,11,102,0,244,Tift354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Toombs,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,87,17,54,0,158,Toombs354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Towns,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,58,10,76,2,146,Towns354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Treutlen,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,16,2,14,0,32,Treutlen354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Troup,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,305,33,215,8,561,Troup354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Turner,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,17,2,34,0,53,Turner354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Twiggs,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,32,4,14,0,50,Twiggs354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Union,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,98,14,116,1,229,Union354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Upson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,71,10,86,0,167,Upson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Walker,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,409,36,343,3,791,Walker354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Walton,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,644,62,347,2,1055,Walton354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Ware,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,110,13,83,0,206,Ware354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Warren,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,10,2,16,0,28,Warren354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Washington,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,43,12,42,1,98,Washington354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Wayne,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,107,8,75,2,192,Wayne354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Webster,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,6,0,7,0,13,Webster354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Wheeler,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,12,3,19,1,35,Wheeler354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
White,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,191,14,143,0,348,White354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Whitfield,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,602,40,281,1,924,Whitfield354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Wilcox,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,15,3,7,0,25,Wilcox354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Wilkes,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,34,1,22,0,57,Wilkes354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
Wilkinson,354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c,35,3,13,0,51,Wilkinson354e279fb5421e120f1a02b4fdbc0776b5d0ad3c04ebcbaa646d586eb899468c
